run_id,dataset_name,filter_type,filter_params,k,inserted_keys,build_time_seconds,memory_usage_bytes,memory_per_kmer_bytes,true_positive_rate,false_positive_rate,throughput_qps,avg_latency_us,p50_latency_us,p95_latency_us,p99_latency_us,cache_proxy,extra_stats
learned_ecoli_k21_k21_f65d2a8089_run0,ecoli_k21,learned,"{'backup_false_positive_rate': 0.01, 'model_threshold': 0.5, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}",21,4562542,356.8140209999983,5305993,1.1629466643813908,1.0,0.0175,42851.25083851228,23.336541651224252,23.336541651224252,23.336541651224252,23.336541651224252,"{'sequential_qps': 43248.97336430706, 'random_qps': 43631.757266134424, 'repeated_qps': 40550.51377490907, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 21, 'model_threshold': 0.7598802311279192, 'backup_false_positive_rate': 0.01, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}, 'inserted_keys': 4562542, 'target_false_positive_rate': 0.01, 'actual_memory_usage_bytes': 5305993, 'build_time_seconds': 355.337320333987, 'built': True, 'model_eval': {'accuracy': 0.5120521229752704, 'avg_precision': 0.6635392664823879, 'true_positive_rate': 0.032260090406537316, 'false_positive_rate': 0.007730112647972892, 'threshold': 0.7598802311279192, 'roc_auc': 0.6838642614426227, 'selected_threshold': 0.7598802311279192, 'model_fpr': 0.007730112647972892, 'model_fnr': 0.9677399095934627, 'target_model_fpr': 0.01, 'used_fallback_selection': 0.0, 'model_false_negative_count': 4414865.0, 'model_false_negative_rate': 0.9676327363123451}, 'has_backup_filter': True}"
learned_ecoli_k21_k21_ddf41a4ee3_run0,ecoli_k21,learned,"{'backup_false_positive_rate': 0.001, 'model_threshold': 0.5, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}",21,4562542,360.000751375017,8216187,1.8007915324395918,1.0,0.0016,41647.87089567406,24.010831250052433,24.010831250052433,24.010831250052433,24.010831250052433,"{'sequential_qps': 43681.59134105314, 'random_qps': 43298.410314248606, 'repeated_qps': 45835.897623653516, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 21, 'model_threshold': 0.9047797052269838, 'backup_false_positive_rate': 0.001, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}, 'inserted_keys': 4562542, 'target_false_positive_rate': 0.001, 'actual_memory_usage_bytes': 8216187, 'build_time_seconds': 358.4620424580062, 'built': True, 'model_eval': {'accuracy': 0.4997789975328088, 'avg_precision': 0.662859346703675, 'true_positive_rate': 1.4605256431789802e-06, 'false_positive_rate': 0.0, 'threshold': 0.9047797052269838, 'roc_auc': 0.6832943566742524, 'selected_threshold': 0.9047797052269838, 'model_fpr': 0.0, 'model_fnr': 0.9999985394743568, 'target_model_fpr': 0.001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 4562538.0, 'model_false_negative_rate': 0.9999991232957417}, 'has_backup_filter': True}"
learned_ecoli_k21_k21_ac13309b22_run0,ecoli_k21,learned,"{'backup_false_positive_rate': 0.0001, 'model_threshold': 0.5, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}",21,4562542,367.09119799998007,10949446,2.399856483512919,1.0,0.0,40016.4133716859,24.989745850325562,24.989745850325562,24.989745850325562,24.989745850325562,"{'sequential_qps': 42213.75481367351, 'random_qps': 42246.381010907615, 'repeated_qps': 44275.55243128782, 'batch_size': 5000}","{'filter_name': 'learned', 'parameters': {'k': 21, 'model_threshold': 0.9003346536922664, 'backup_false_positive_rate': 0.0001, 'model_backend': 'ngram_sgd', 'ngram_features': 4096, 'ngram_range': (3, 5)}, 'inserted_keys': 4562542, 'target_false_positive_rate': 0.0001, 'actual_memory_usage_bytes': 10949446, 'build_time_seconds': 365.6227799579792, 'built': True, 'model_eval': {'accuracy': 0.4997789975328088, 'avg_precision': 0.6629997521145208, 'true_positive_rate': 1.4605256431789802e-06, 'false_positive_rate': 0.0, 'threshold': 0.9003346536922664, 'roc_auc': 0.6835533445304989, 'selected_threshold': 0.9003346536922664, 'model_fpr': 0.0, 'model_fnr': 0.9999985394743568, 'target_model_fpr': 0.0001, 'used_fallback_selection': 0.0, 'model_false_negative_count': 4562537.0, 'model_false_negative_rate': 0.9999989041196772}, 'has_backup_filter': True}"
